text,label_id,sentiment
và anh tin là sớm muộn thì chúng ta lại về bên nhau,0,Neutral
sau cơn mưa trời sẽ sáng sớm muộn thì thuyền sẽ về bờ an toàn shout out khoivu và nhâm phương nam,0,Neutral
600 000 view rồi cảm ơn rất nhiều tất cả các khán giả của đại gia đình say hi quá tuyệt vời ạ mong rằng thuyền sẽ sớm cập bến ở quận 1 thôi,0,Neutral
lamoon cưng xỉu,0,Neutral
sớm muộn thì 100k lộn xộn đã ra khơi thành công mời mọi người cùng tận hưởng đại hải trình này với chúng tớ nhé,0,Neutral
em cảm ơn mọi người đã yêu thích sớm muộn thì ạa,0,Neutral
tiết mục hay nhất livestage này đối với mình chỉ muốn gửi một cmt khen ngợi để ủng hộ tất cả các bạn trong team phần tâm sự trên sân khấu khiến tui khóc vì thương luôn á,0,Neutral
tôi đang nghe best hit anh trai say hi 2025 với 1 tỷ 8 lượt nghe trên mọi nền tảng,0,Neutral
cảm ơn mọi người vì đã mang sớm muộn thì về lại quận 1 yêu mọi người rất nhiều ạ,0,Neutral
mong khoi vu nổi hơn nữa thật sự không đùa được với cái tài năng này quá giỏi,0,Neutral
nghe bảo lại lên quận 1 ah thích thế ơ mai ghé qua mun và chị juky xem người đầu tiên nhoa,0,Neutral
bé sớm sớm lên số 10 nhaaaaaaa nhạc hay qus chừng,0,Neutral
đoạn đầu của khoi vu nghe lần nào nổi da gà lần đó hay quá huhu,0,Neutral
thực sự replay lại không biết bao nhiêu lần bài đầu tiên trong mùa 2 mà vừa wow vừa nổi da gà ngay từ giây đầu,0,Neutral
chả hiểu sao hôm qua nghe bài này lại khóc team hustlang robber khôi vũ nhâm phương nam jaysonley mason nguyễn và lamoon tuyệt vờii,0,Neutral
lên nào cả nhà ơiii,0,Neutral
bài này ra mắt đúng lúc miền trung chịu nhiều cơn bão lũ lụt là 1 người con miền trung mình thật sự đã xúc động khi nghe bài hát này respect tất cả các thành viên cùa team 100k nhạc lộn xộn ver nào cũng rất xuất sắc ấn tượng ngay từ intro của khoi vu,0,Neutral
đoạn jaysonlei với khôi vũ hay ghê á,0,Neutral
khoi vu giỏi khoi vu hát hay một phần trình diễn mãn nhãn phần nhìn và cả phần nghe,0,Neutral
lên 6tr nào mỗi 1 like là 1 lần mình vô nghe lại,0,Neutral
từ một team bị underrated nhất trong ls3 lại là team bức phá nhất từng thành viên đều có điểm sáng trong bài thông điệp ý nghĩa lyric sâu sắc từ vocal concept melody deli hay flow đều ấn tượng cực kì respect robber ở điểm này nhất là khôi vũ và anh năm nền làm mình bất ngờ nhất quá peakkkkkkk,0,Neutral
khoi vu về sớm quá hơi tiếc nhưng mà anh bé quá giỏi luôn rồi tự hào bé timeo,0,Neutral
đoạn cụa lamoon như kiểu giông bão có lớn đến đâu cx sẽ dịu dàng lại hết v á tròiiii,2,Negative
lên tiếp thôi 10m trong 2 tháng mn ơi,0,Neutral
bố cục chia line cho từng thành viên mượt cực kỳ robber dẫn chuyện xong khôi vũ cất giọng lên đã thấy hay điên sao lại hay như thế xong đến a năm rap lại phải wow tiếp vì chất giọng hợp rap cực kỳ flow của mason cũng cực cuốn vibe verse của lamoon hợp với team này cực kỳ rùi đến verse của e thịnh cất giọng lên nó cũng hay mà sâu lắng đến khó tả nói chung bài này vừa hay vừa ý nghĩa cảm giác như đang xem 1 bộ phim ngắn nói về tình yêu nam nữ nơi biển cả thực sự ý cảm ơn team 100k lộn xộn đã mang đến 1 bài hát ý nghĩa ntn tới ng nghe 3,0,Neutral
giọng khôi vũ cất lên mà bất ngờ quá trời cư dân berlin mãi tự hào về anh nha 3 quận 1 đâu mở cửa ngay,0,Neutral
mình đang ở xa nhà mà nghe bài này cảm động lắm luôn thật sự được up mood để cố gắng nhiều hơn nữa ấy cảm ơn jaysonlei cảm ơn team 100k lộn xộn đã tạo nên 1 bài siêu tuyệt vời,0,Neutral
sắp 10 trịu luôn rồiiin,0,Neutral
mình tiếc khôi vũ quá vào khoảnh khắc bùng nổ nhất thì lại không thể đồng hành tiếp với chương trình hy vọng mọi người sẽ yêu thương khôi vũ thật nhiều,0,Neutral
thật sự ver của khoi vu hay đến nỗi khi bị loại nhiều nonfan phải bất ngờ đó,0,Neutral
đối với tui bài này ấn tượng nhất từ đầu chương trình lunn siêu hợp guu dù không còn bước tiếp nhưng khoi vu và nhâm phương nam hãy luôn cố gắng nhée tự hào về cái team nàyyyyyyyy,0,Neutral
the best hit của chương trình quá xứng đáng luôn tới giờ vẫn thấy bài này hay nhất anh trai năm nay,0,Neutral
con mã sớm muộn thì xứng đáng có được thành công như giá trị nghệ thuật đỉnh cao của nó mn cố đưa bé sớm lên quận 1 nhaaa,0,Neutral
nửa đêm cắm tai nghe và giọng hát của khôi vũ khiến tôi tưởng là mình đang nằm mơ và rơi vào vườn địa đàng luôn hu hu,0,Neutral
thương khôi vũ và nhâm phương nam lắm íiii bài này theo tui thì hay nhất nhất nhất ls3 thật sự là nghe vừa truyền động lực vừa vui vô cùng luônnn ai cũng có spotlight của mình 6 người 6 màu mà kết hợp lại đẳng cấp vaiiii nghe lần đầu dính luôn ròiii,0,Neutral
lên tiếp 9 6m nào mn go go,0,Neutral
thực sự ver của khoi vu rất hay anh thật sự rất giỏi và cần được nhiều người biết đến hơn vẫn sẽ luôn theo dõi hành trình của anh và mong rằng bài hát sớm muộn thì sẽ được nhiều người yêu thích,0,Neutral
0 15 giọng khoi vu ngọt quá trời,0,Neutral
lamoon ko làm chúng ta thất vọng shout out to gv ngữ văn lamoon,2,Negative
còn 6 ngày nữa là 2 tháng r mn cố gắng lên 10m nha,0,Neutral
khôi vũ ơi tự tin hơn nữa nhé cậu quá giỏi luôn nỗ lực cậu chỉ cần tin vào bản thân mình hơn nữa mình tin chắc cậu sẽ thành công rất lớn một ngày không xa ngưỡng mộ và yêu thương cậu rất nhiều,0,Neutral
bài này đỉnh nhất live 3 thích nhất đoạn của khôi vũ cất giọng sau khi robber tự sự ôi trời cái melody quỷ quái gì đây hả vũ làm em phải replay chục lần rồi đây nàyy tôi yêu khôi vũ tôi yêu sớm muộn thì,0,Neutral
mục tiêu cho ngày mai là 1tr2 nha các thuyền viên chúng ta giữ vững tinh thần 200k ngày nhaa,2,Negative
40k nữa thôi là lên 9m3 rùi,0,Neutral
bế ngay em mason nguyễn lên q1 khen mason nguyễn là hoàn toàn xứng đáng mỗi sản phẩm mỗi dự án của mason đều thể hiện rõ sự chuyên nghiệp sáng tạo và tinh tế người có năng lực thật sự thì chỉ cần nhìn qua kết quả là biết mason chính là minh chứng cho điều đó yêu team 100k lộn xộn sớm muộn thì 3,0,Neutral
thích line rap của mason nguyễn quá đóng tune mãi đỉnhhhh,0,Neutral
ko nhg nhạc cảm động mà tình cảm ae giữa team này còn khiến khán giả thương hơn á,0,Neutral
tuần tới 10m luôn nhé cả nhà ơi cố lên nè,0,Neutral
có thể là hay nhất ls này luôn đỉnh cao vkl robber ơi,0,Neutral
hóng màn collab tương lai giữa khôi vũ và lamoon giọng 2 bạn này hợp nha,0,Neutral
vòng này ai cx sáng chói luôn khoi vu với lamoon đỉnh thiệt,0,Neutral
tung đồng xu đc 9 triệu view ròi nhanh qué,0,Neutral
khoi vu xứng đáng được biết nhiều hơnn đưa bài này lên quận 1 mn ơi,0,Neutral
phải thật sự công nhận lần này team robber làm ngoài sức tưởng tượng luôn từ một đội tìm đến nhau vì duyên số mang cái mác là những người dạt để trở thành team dạt ra cho tụi anh cháy trân trọng stage cuối cùng của anh năm và khoi vu,0,Neutral
bài này ra đúng thời điểm có nhiều sự kiện liên quan nghe rất ý nghĩa luôn ý mason nguyễn khôi vũ,0,Neutral
10 triệu đi cả nhà owiiiiiii,0,Neutral
thích bài này lắm luôn team thuyền trưởng hustlang robber mãi đỉnh yêu khoi vu nhâm phương nam mason nguyễn jaysonlei bé đẹp lamoon,0,Neutral
thích nhất là đoạn của khôi vũ siêu hay lun,0,Neutral
