text,label_id,sentiment
anh có tài năng tiềm ẩn bên trong đấy giấu mẹ nó đi anh ơi,0,Neutral
1 bài hát mà các quán cafe sẽ bật khi đã quá 9 10h,0,Neutral
vào nghe nhạc vào đọc comment,0,Neutral
nghe xong thao túng tâm trí của aku t phải quay lại để xin lỗi a quí,0,Neutral
cia mỹ nên thêm bài hát này vào danh sách những hình thức tra tấn man rợ nhất,2,Negative
hồi xưa thì cắm sừng ai thì cắm điếc tai trái giờ ta vờn nhau pickleball điếc tai phải đều luôn,1,Positive
1 bài hát mà các quán cafe sẽ bật khi đã quá 9 10h,0,Neutral
giờ nghe nhạc của quốc kang r nghe lại picleball thì thấy bài này còn hay chán,0,Neutral
nghe bài này mà tôi thấy khâm phục không phải vì hay mà vì dám phát hành,0,Neutral
cảm ơn bạn nhé tôi sẽ đặt bài này làm báo thức để thức dậy trước nó,0,Neutral
nhờ có bài này mà nhiều quốc gia tiết kiệm được khoản tiền khổng lồ cho việc thay thế án tử hình,0,Neutral
chính phủ mỹ nên đưa bài hát này vào danh sách những vũ khí tâm lí đáng sợ nhất thế giới,0,Neutral
tôi sẽ đặt bài này làm chuông báo thức để tôi có thể dậy trước khi bài hát đc bật lên,0,Neutral
bác sĩ đg đỡ đẻ cho con tôi thì bài này bật lên thế là ông ấy nhanh tay cắt dây cảm âm thay vì dây rốn vì sợ hệ lụy sau này ơn này tôi ko sao trả hết,0,Neutral
nghe xong last night phải quay lại đây để rửa tai,0,Neutral
tôi sẽ bật bài này vào đám tang của mình để quan khách đến thăm ghen tị vì tôi là người nằm trong quan tài,0,Neutral
dô đo c cmt cươ i mê t qua tu i bây,0,Neutral
bảo anh quí đừng để ý những cmt tồi tệ đó vì bài này nó tồi tệ hơn,0,Neutral
vừa lướt qua last night xong phải mở lại bài này để rửa tai,0,Neutral
có phải anh bạn tới đây để đọc comment thay vì nghe nhạc,0,Neutral
tò mò từ facebook qua đây nghe quả thật bài này rất hay nhạc rất catchy lời nhạc rất cô đọng một người điếc chia sẻ,0,Neutral
cái lúc mà tôi đang nghe thử bài này trong phòng thì người nhà tôi đi vào tôi đã vội vàng chuyển tab ngay sang pỏnhub vì như vậy có thể dễ dàng giải thích hơn tôi thấy mình chưa bao giờ nhanh trí đến như vậy,0,Neutral
dù đã 3 tháng nhưng khi nghe đi nghe lại nài này quá nhiều t tự nhiên thấy bài này cũng hay phết,0,Neutral
sau 4 tháng tôi vẫn ngồi đây cười nhé,0,Neutral
thực ra mv ca nhạc này là do ai làm nên chứ con người bình thường không ai đủ trình độ làm ra sản phẩm thế này cả,0,Neutral
tôi không biết anh ấy có thù hận gì với các công ti thuốc sổ không nhưng tại sao anh ta lại tạo ra 1 sản phẩm để hủy diệt thị phần kinh doanh của họ,0,Neutral
có lẽ nhà nước nên dùng bài này bắt tội phạm pháp luật nghe 7 ngày 7 đêm cho đỡ tốn kinh phí nhà nước,0,Neutral
xin lỗi đỗ phú quí khi đã quá khắt khe với anh cho tới khi tôi nghe việt nam mới tinh,0,Neutral
lúc giờ bạn em bị liệt từ nhỏ bây giờ em cho nó nghe bài này và nó đứng dậy đi như bình thường cảm ơn a mỗi tội nó đã điếc hoàn toàn,0,Neutral
vâng thực sự nghe bài này bạn tôi từ người sống thực vật đã có thể đứng dậy để tắt bài hát cảm ơn anh,0,Neutral
anh đừng quan tâm người ta nói gì về bài này em đại diện người bị điếc luôn ủng hộ anh,0,Neutral
t đến đây vì nghe bài thao túng tâm trí,0,Neutral
lúc trước đi học toàn bị bạn bè trêu chọc nói xấu bên tai nhờ có bài hát này mà tôi điếc mẹ luôn nhờ thế mà tôi ko nghe ai thì thầm nữa cảm ơn tác giả,0,Neutral
cảm ơn anh bạn tôi bị liệt cơ mặt k cười đã 10 năm r nay nghe bài này nó cười sái quai hàm luôn,0,Neutral
vào đọc cmt toàn thấy những mảnh đời nghiệt ngã vươn lên đau ruột quá bây ơi,0,Neutral
bài này vừa ra được mấy tuần chỗ tao nó xây chục cái sân,0,Neutral
nếu không có bài hát này mối tình 3 năm giữa tôi và bạn gái đã có thể đi đến kết thúc rất tệ ngày 24 11 2024 giữa chúng tôi đã xảy ra bất đồng quan điểm cả 2 không thể tìm được tiếng nói chung đã định kết thúc bài hát pickleball chợt vang lên từ đằng sau những giọt nước mắt đã lăn dài đôi mắt nhìn nhau tay nắm thật chặt và nghĩ rằng hóa ra trên đời vẫn tồn tại những thứ tồi tệ hơn,0,Neutral
nghe bài này vào đúng rằm tháng 7 thì cả nhà yên tâm các oan hồn sẽ siêu thoát hết mà không cần phải cúng,0,Neutral
bạn tôi bị tai nạn 3 năm nay liệt 2 chân đầu đập vào đất lên tai lúc nghe được lúc không hầu như đi lại hay đi chơi thi thoảng tôi lai nó đi nó tiêu cực lắm thơ thẩn cả ngày rồi lại than thân trách phận nhưng khi tình cờ tôi bật youtube đến bài này thì lần đầu tiên sau 3 năm tôi thấy nó đứng dạy dùng chân sút vỡ bóng hình tivi cảm ơn phú quý đã cứu được 1 kiếp người,0,Neutral
mùa đông năm ấy,0,Neutral
vừa nghe quốc kang xong phải ra đây rửa tai,0,Neutral
con chó nhà tôi mất được 4 ngày tôi vừa chôn nó được ít ngày thì sáng hôm nay tôi bật bài này lên thì con chó của tôi xuất hiện và nhảy gangnam style tôi rất sốc cảm ơn bạn vì bạn đã cứu con chó của tôi,0,Neutral
mình sẽ bật bài nhạc này lên trong 1 bữa tiệc khi mình muốn tất cả mọi người rời đi,0,Neutral
bài này xứng đáng nhận giải nobel hoà bình và nobel về y học vì nó đã giúp người bị bại liệt có thể đi lại bth để tắt nhạc và có thể giúp chữa trị bệnh điếc,2,Negative
em là chủ một doanh nghiệp nhỏ nhưng nhân viên rất lười làm từ ngày phát hành bài hát này em ra chính sách nếu ai không làm việc sẽ phải nghe pickleball 1 tiếng liên tục với âm lượng to nhất mới 10 ngày thôi doanh nghiệp em đã x2 doanh thu trân trọng biết ơn anh,0,Neutral
bài này nên được chôn xuống tất đất thật sự là không có điểm nào để khen mv này,0,Neutral
bài hát này đã giúp rất nhiều ng tôi đã đọc cmt và thấy anh đã giúp ng sống thực vật ng bị bắt nạt nói xấu ng bị liệt có thể trở nên bình thường mn hãy gửi lời cảm ơn đến anh ấy đii,0,Neutral
đang học thuộc bài thì tôi nghe bài này quên hết mẹ kiến thức rồi,0,Neutral
riêng mình thấy bài này cũng không dỡ lắm đổi lyrics singer producer rồi thay luôn con beat là được,0,Neutral
bài hát này đã giúp gần như tất cả mọi người trong cmt thể hiện được tài năng và trí tưởng tượng phong phú mà chính bản thân họ còn không nhận ra nó chính là chìa khóa để đánh thức khả năng thiên tài của người việt nam rất cảm ơn tác giả,0,Neutral
tôi đã bị anh quí lườm 42 lần chỉ trong 3p14s,0,Neutral
xem tao đang ngủ thì lại phải để người ta bật nhạc bolero,0,Neutral
dù chưa được nghe bài hát nhưng kể từ khi nó ra đời mọi người đều nhìn tôi với ánh mắt đầy tôn trọng bà chủ quán phở đã miễn phí tiền ăn sáng suốt tuần này cho tôi phụ nữ mang thai nhường ghế cho tôi ở trên xe buýt bọn con gái mỗi lần đi qua đều khúc khích cười nháy mắt với tôi ngay cả fan barca cũng cúi đầu nhường đường là một người điếc bẩm sinh tôi chưa bao giờ cảm thấy hạnh phúc như vậy trong đời,0,Neutral
trước đây mình từng là một con nghiện internet chơi game 6 tiếng ngày lướt facebook lên discord chửi nhau và rizz đám nhóc skibidi ohio giả gái alime sau khi anh đã cho ra một bài hát tuyệt vời như thế này em cảm thấy cuộc sống của mình không nên chỉ gói gọn lại trong 4 bức tường dưới tầng hầm nhà hàng xóm em cần điều gì đó tươi sáng mới mẻ trong cuộc sống chính vì vậy em đã tắt điện thoại đi tắm ra ngoài chạm cỏ hít đất hấp thụ khí ô xi và không bao giờ quay trở lại youtube nữa cảm ơn anh update đã được 3 ngày tiếp xúc với thế giới bên ngoài và tránh xa mạng xã hội nhưng tôi cảm thấy cuộc sống đã tốt hơn thậm chí tôi còn đang tranh cử với tổng thống donald trump để xem ai là người thừa kế ngôi vị chủ nhân của nứov mỹ,0,Neutral
mặc dù bị tai tiếng nhưng mà ít ra pickleball giúp đỗ phú quí có tiếng còn hơn ngày xưa chả biết đến đỗ phú quý,0,Neutral
tôi quay lại đây sau khi nghe bài việt nam mới tinh,0,Neutral
nếu bài này được phát hành vào năm 2019 thì covid sẽ không bao giờ dám đến việt nam,0,Neutral
đây thực sự là một tài năng tiềm ẩn hãy để cho nó ẩn,0,Neutral
cảm ơn anh bạn em bị cụt tay em cho nó xem nó mọc lại tay tắt nhạc luôn,0,Neutral
t đã quay lại nghe pickleball khi nghe xong bài thao túng tâm trí,0,Neutral
tôi sẽ cố hồi sinh bài này,0,Neutral
bạn mình vốn rất đam mê pickleball ngay khi nghe bài nhạc tuyệt vời này của ca sĩ bạn mình đã đập vợt và quyết định sẽ không chơi bộ môn này nữa cảm ơn ca sĩ phú qúi đã giúp bạn mình đưa ra được 1 quyết định vô cùng đúng đắn có lẽ là đúng đắn nhất từ trước tới nay,0,Neutral
nếu a dùng bài này tham gia atsh thì có lẽ a sẽ không có đối thủ vì đối thủ chạy hết rồi,0,Neutral
nếu như bài này đc phát hành sớm thì thg bạn tôi đã ko chết vì đột quỵ,0,Neutral
