name,comment
"@tventy8371
1 năm trước",anh có tài năng tiềm ẩn bên trong đấy giấu mẹ nó đi anh ơi
"@thangnammusic
1 năm trước",1 bài hát mà các quán cafe sẽ bật khi đã quá 9 10h
"@Fantastic_Cyan07
1 năm trước",vào nghe nhạc vào đọc comment
"@Luzafj
10 tháng trước",nghe xong thao túng tâm trí của aku t phải quay lại để xin lỗi a quí
"@tuyendang6873
1 năm trước",cia mỹ nên thêm bài hát này vào danh sách những hình thức tra tấn man rợ nhất
"@lananhlythi1626
1 năm trước (đã chỉnh sửa)",hồi xưa thì cắm sừng ai thì cắm điếc tai trái giờ ta vờn nhau pickleball điếc tai phải đều luôn
"@mownyu
1 năm trước",1 bài hát mà các quán cafe sẽ bật khi đã quá 9 10h
"@hoanghhanh
4 tháng trước",giờ nghe nhạc của quốc kang r nghe lại picleball thì thấy bài này còn hay chán
"@quocbinhly8723
1 năm trước",nghe bài này mà tôi thấy khâm phục không phải vì hay mà vì dám phát hành
"@Thangngotdepzai
1 năm trước",cảm ơn bạn nhé tôi sẽ đặt bài này làm báo thức để thức dậy trước nó
"@Stonerduy
11 tháng trước",nhờ có bài này mà nhiều quốc gia tiết kiệm được khoản tiền khổng lồ cho việc thay thế án tử hình
"@sgbanana610
1 năm trước",chính phủ mỹ nên đưa bài hát này vào danh sách những vũ khí tâm lí đáng sợ nhất thế giới
"@ngochien7335
1 năm trước",tôi sẽ đặt bài này làm chuông báo thức để tôi có thể dậy trước khi bài hát đc bật lên
"@sooker_67
1 năm trước",bác sĩ đg đỡ đẻ cho con tôi thì bài này bật lên thế là ông ấy nhanh tay cắt dây cảm âm thay vì dây rốn vì sợ hệ lụy sau này ơn này tôi ko sao trả hết
"@tuanmadridista4707
5 tháng trước",nghe xong last night phải quay lại đây để rửa tai
"@MinhTran-l8x
1 năm trước",tôi sẽ bật bài này vào đám tang của mình để quan khách đến thăm ghen tị vì tôi là người nằm trong quan tài
"@HwangNg2K
1 năm trước",dô đo c cmt cươ i mê t qua tu i bây
"@PhongNguyen-pj3os
1 năm trước",bảo anh quí đừng để ý những cmt tồi tệ đó vì bài này nó tồi tệ hơn
"@saturnliebe
4 tháng trước",vừa lướt qua last night xong phải mở lại bài này để rửa tai
"@symbice
1 năm trước (đã chỉnh sửa)",có phải anh bạn tới đây để đọc comment thay vì nghe nhạc
"@tnl4340
1 năm trước",tò mò từ facebook qua đây nghe quả thật bài này rất hay nhạc rất catchy lời nhạc rất cô đọng một người điếc chia sẻ
"@hainamha5527
1 năm trước",cái lúc mà tôi đang nghe thử bài này trong phòng thì người nhà tôi đi vào tôi đã vội vàng chuyển tab ngay sang pỏnhub vì như vậy có thể dễ dàng giải thích hơn tôi thấy mình chưa bao giờ nhanh trí đến như vậy
"@sodeno19
10 tháng trước",dù đã 3 tháng nhưng khi nghe đi nghe lại nài này quá nhiều t tự nhiên thấy bài này cũng hay phết
"@Psychology2019Ken
9 tháng trước",sau 4 tháng tôi vẫn ngồi đây cười nhé
"@tringuyenhoangminh168
1 năm trước",thực ra mv ca nhạc này là do ai làm nên chứ con người bình thường không ai đủ trình độ làm ra sản phẩm thế này cả
"@Thangngotdepzai
1 năm trước",tôi không biết anh ấy có thù hận gì với các công ti thuốc sổ không nhưng tại sao anh ta lại tạo ra 1 sản phẩm để hủy diệt thị phần kinh doanh của họ
"@VảiCarLoon
1 năm trước (đã chỉnh sửa)",có lẽ nhà nước nên dùng bài này bắt tội phạm pháp luật nghe 7 ngày 7 đêm cho đỡ tốn kinh phí nhà nước
"@Khoanguyen-to3zj
1 tháng trước",xin lỗi đỗ phú quí khi đã quá khắt khe với anh cho tới khi tôi nghe việt nam mới tinh
"@Ledangkhoa499
1 năm trước",lúc giờ bạn em bị liệt từ nhỏ bây giờ em cho nó nghe bài này và nó đứng dậy đi như bình thường cảm ơn a mỗi tội nó đã điếc hoàn toàn
"@ĐạtTrần-n2l
1 năm trước",vâng thực sự nghe bài này bạn tôi từ người sống thực vật đã có thể đứng dậy để tắt bài hát cảm ơn anh
"@tuannguyen8070
1 năm trước",anh đừng quan tâm người ta nói gì về bài này em đại diện người bị điếc luôn ủng hộ anh
"@NsnsnsjNxndnd
9 tháng trước",t đến đây vì nghe bài thao túng tâm trí
"@ylnguyen261
1 năm trước",lúc trước đi học toàn bị bạn bè trêu chọc nói xấu bên tai nhờ có bài hát này mà tôi điếc mẹ luôn nhờ thế mà tôi ko nghe ai thì thầm nữa cảm ơn tác giả
"@zheneddie1350
1 năm trước",cảm ơn anh bạn tôi bị liệt cơ mặt k cười đã 10 năm r nay nghe bài này nó cười sái quai hàm luôn
"@trangao2986
1 năm trước",vào đọc cmt toàn thấy những mảnh đời nghiệt ngã vươn lên đau ruột quá bây ơi
"@vuvnguen
4 tuần trước",bài này vừa ra được mấy tuần chỗ tao nó xây chục cái sân
"@PhatTran-xn9nv
1 năm trước",nếu không có bài hát này mối tình 3 năm giữa tôi và bạn gái đã có thể đi đến kết thúc rất tệ ngày 24 11 2024 giữa chúng tôi đã xảy ra bất đồng quan điểm cả 2 không thể tìm được tiếng nói chung đã định kết thúc bài hát pickleball chợt vang lên từ đằng sau những giọt nước mắt đã lăn dài đôi mắt nhìn nhau tay nắm thật chặt và nghĩ rằng hóa ra trên đời vẫn tồn tại những thứ tồi tệ hơn
"@vietanh4029
11 tháng trước",nghe bài này vào đúng rằm tháng 7 thì cả nhà yên tâm các oan hồn sẽ siêu thoát hết mà không cần phải cúng
"@ChiếnVũ-x4g
1 năm trước",bạn tôi bị tai nạn 3 năm nay liệt 2 chân đầu đập vào đất lên tai lúc nghe được lúc không hầu như đi lại hay đi chơi thi thoảng tôi lai nó đi nó tiêu cực lắm thơ thẩn cả ngày rồi lại than thân trách phận nhưng khi tình cờ tôi bật youtube đến bài này thì lần đầu tiên sau 3 năm tôi thấy nó đứng dạy dùng chân sút vỡ bóng hình tivi cảm ơn phú quý đã cứu được 1 kiếp người
"@Topwukong0
3 tháng trước",mùa đông năm ấy
"@kranus_1707
4 tháng trước",vừa nghe quốc kang xong phải ra đây rửa tai
"@đườnglinklạ.....2k8
1 năm trước",con chó nhà tôi mất được 4 ngày tôi vừa chôn nó được ít ngày thì sáng hôm nay tôi bật bài này lên thì con chó của tôi xuất hiện và nhảy gangnam style tôi rất sốc cảm ơn bạn vì bạn đã cứu con chó của tôi
"@manhquach1266
1 năm trước",mình sẽ bật bài nhạc này lên trong 1 bữa tiệc khi mình muốn tất cả mọi người rời đi
"@nxlff8026
1 năm trước",bài này xứng đáng nhận giải nobel hoà bình và nobel về y học vì nó đã giúp người bị bại liệt có thể đi lại bth để tắt nhạc và có thể giúp chữa trị bệnh điếc
"@giangha2229
1 năm trước",em là chủ một doanh nghiệp nhỏ nhưng nhân viên rất lười làm từ ngày phát hành bài hát này em ra chính sách nếu ai không làm việc sẽ phải nghe pickleball 1 tiếng liên tục với âm lượng to nhất mới 10 ngày thôi doanh nghiệp em đã x2 doanh thu trân trọng biết ơn anh
"@phattran-bs3ge
1 năm trước",bài này nên được chôn xuống tất đất thật sự là không có điểm nào để khen mv này
"@HàoNguyễn-u3z
1 năm trước",bài hát này đã giúp rất nhiều ng tôi đã đọc cmt và thấy anh đã giúp ng sống thực vật ng bị bắt nạt nói xấu ng bị liệt có thể trở nên bình thường mn hãy gửi lời cảm ơn đến anh ấy đii
"@hoangminhle1369
8 tháng trước",đang học thuộc bài thì tôi nghe bài này quên hết mẹ kiến thức rồi
"@tolyli1
1 năm trước",riêng mình thấy bài này cũng không dỡ lắm đổi lyrics singer producer rồi thay luôn con beat là được
"@noobie1293
1 năm trước",bài hát này đã giúp gần như tất cả mọi người trong cmt thể hiện được tài năng và trí tưởng tượng phong phú mà chính bản thân họ còn không nhận ra nó chính là chìa khóa để đánh thức khả năng thiên tài của người việt nam rất cảm ơn tác giả
"@diemthuy4208
1 năm trước",tôi đã bị anh quí lườm 42 lần chỉ trong 3p14s
"@LinhĐinh-h1w
6 tháng trước",xem tao đang ngủ thì lại phải để người ta bật nhạc bolero
"@guynonsense4157
1 năm trước",dù chưa được nghe bài hát nhưng kể từ khi nó ra đời mọi người đều nhìn tôi với ánh mắt đầy tôn trọng bà chủ quán phở đã miễn phí tiền ăn sáng suốt tuần này cho tôi phụ nữ mang thai nhường ghế cho tôi ở trên xe buýt bọn con gái mỗi lần đi qua đều khúc khích cười nháy mắt với tôi ngay cả fan barca cũng cúi đầu nhường đường là một người điếc bẩm sinh tôi chưa bao giờ cảm thấy hạnh phúc như vậy trong đời
"@TheDestinedOne-n7e
1 năm trước (đã chỉnh sửa)",trước đây mình từng là một con nghiện internet chơi game 6 tiếng ngày lướt facebook lên discord chửi nhau và rizz đám nhóc skibidi ohio giả gái alime sau khi anh đã cho ra một bài hát tuyệt vời như thế này em cảm thấy cuộc sống của mình không nên chỉ gói gọn lại trong 4 bức tường dưới tầng hầm nhà hàng xóm em cần điều gì đó tươi sáng mới mẻ trong cuộc sống chính vì vậy em đã tắt điện thoại đi tắm ra ngoài chạm cỏ hít đất hấp thụ khí ô xi và không bao giờ quay trở lại youtube nữa cảm ơn anh update đã được 3 ngày tiếp xúc với thế giới bên ngoài và tránh xa mạng xã hội nhưng tôi cảm thấy cuộc sống đã tốt hơn thậm chí tôi còn đang tranh cử với tổng thống donald trump để xem ai là người thừa kế ngôi vị chủ nhân của nứov mỹ
"@tranglinh9769
11 tháng trước",mặc dù bị tai tiếng nhưng mà ít ra pickleball giúp đỗ phú quí có tiếng còn hơn ngày xưa chả biết đến đỗ phú quý
"@idjotduck8821
2 tuần trước",tôi quay lại đây sau khi nghe bài việt nam mới tinh
"@xudury7127
1 năm trước",nếu bài này được phát hành vào năm 2019 thì covid sẽ không bao giờ dám đến việt nam
"@e_teru
1 năm trước",đây thực sự là một tài năng tiềm ẩn hãy để cho nó ẩn
"@memaybeovien
1 năm trước",cảm ơn anh bạn em bị cụt tay em cho nó xem nó mọc lại tay tắt nhạc luôn
"@AnLêThuỵ-h7s
10 tháng trước",t đã quay lại nghe pickleball khi nghe xong bài thao túng tâm trí
"@Mafioso_RBL
3 ngày trước",tôi sẽ cố hồi sinh bài này
